season,checkpoint,predictor,champion,champion_rank
2023,50%,crowd_buzz,DEN,5.0
2023,50%,stats_baseline,DEN,5.0
2023,75%,media_attn,DEN,9.0
2023,75%,media_tone,DEN,17.0
2023,75%,fan_attn,DEN,21.0
2023,75%,crowd_all,DEN,17.0
2023,75%,media_buzz,DEN,5.0
2023,75%,fan_buzz,DEN,8.0
2023,75%,crowd_buzz,DEN,6.5
2023,75%,stats_baseline,DEN,3.0
2023,pre-playoffs,media_attn,DEN,14.0
2023,pre-playoffs,media_tone,DEN,17.0
2023,pre-playoffs,fan_attn,DEN,23.0
2023,pre-playoffs,crowd_all,DEN,21.0
2023,pre-playoffs,media_buzz,DEN,13.0
2023,pre-playoffs,fan_buzz,DEN,9.0
2023,pre-playoffs,crowd_buzz,DEN,10.5
2023,pre-playoffs,stats_baseline,DEN,6.0
2024,preseason,media_attn,BOS,9.0
2024,preseason,media_tone,BOS,3.0
2024,preseason,fan_attn,BOS,3.0
2024,preseason,crowd_all,BOS,3.0
2024,preseason,media_buzz,BOS,19.0
2024,preseason,fan_buzz,BOS,7.0
2024,preseason,crowd_buzz,BOS,5.5
2024,preseason,stats_baseline,BOS,2.0
2024,25%,media_attn,BOS,5.0
2024,25%,media_tone,BOS,4.0
2024,25%,fan_attn,BOS,3.0
2024,25%,crowd_all,BOS,3.0
2024,25%,media_buzz,BOS,25.0
2024,25%,fan_buzz,BOS,27.0
2024,25%,crowd_buzz,BOS,22.5
2024,25%,stats_baseline,BOS,1.0
2024,50%,media_attn,BOS,2.0
2024,50%,media_tone,BOS,13.0
2024,50%,fan_attn,BOS,4.0
2024,50%,crowd_all,BOS,3.0
2024,50%,media_buzz,BOS,16.0
2024,50%,fan_buzz,BOS,22.0
2024,50%,crowd_buzz,BOS,18.0
2024,50%,stats_baseline,BOS,1.0
2024,75%,media_attn,BOS,3.0
2024,75%,media_tone,BOS,2.0
2024,75%,fan_attn,BOS,3.0
2024,75%,crowd_all,BOS,2.5
2024,75%,media_buzz,BOS,21.0
2024,75%,fan_buzz,BOS,24.0
2024,75%,crowd_buzz,BOS,19.0
2024,75%,stats_baseline,BOS,1.0
2024,pre-playoffs,media_attn,BOS,6.0
2024,pre-playoffs,media_tone,BOS,1.0
2024,pre-playoffs,fan_attn,BOS,3.0
2024,pre-playoffs,crowd_all,BOS,2.5
2024,pre-playoffs,media_buzz,BOS,28.0
2024,pre-playoffs,fan_buzz,BOS,24.0
2024,pre-playoffs,crowd_buzz,BOS,18.0
2024,pre-playoffs,stats_baseline,BOS,1.0
2025,preseason,media_attn,OKC,20.0
2025,preseason,media_tone,OKC,13.0
2025,preseason,fan_attn,OKC,24.0
2025,preseason,crowd_all,OKC,21.5
2025,preseason,media_buzz,OKC,26.0
2025,preseason,fan_buzz,OKC,28.0
2025,preseason,crowd_buzz,OKC,27.0
2025,preseason,stats_baseline,OKC,2.5
2025,25%,media_attn,OKC,15.0
2025,25%,media_tone,OKC,26.0
2025,25%,fan_attn,OKC,17.0
2025,25%,crowd_all,OKC,22.0
2025,25%,media_buzz,OKC,18.0
2025,25%,fan_buzz,OKC,17.0
2025,25%,crowd_buzz,OKC,24.5
2025,25%,stats_baseline,OKC,1.0
2025,50%,media_attn,OKC,9.0
2025,50%,media_tone,OKC,13.0
2025,50%,fan_attn,OKC,12.0
2025,50%,crowd_all,OKC,8.0
2025,50%,media_buzz,OKC,8.0
2025,50%,fan_buzz,OKC,7.0
2025,50%,crowd_buzz,OKC,4.5
2025,50%,stats_baseline,OKC,1.0
2025,75%,media_attn,OKC,13.0
2025,75%,media_tone,OKC,16.0
2025,75%,fan_attn,OKC,13.0
2025,75%,crowd_all,OKC,13.5
2025,75%,media_buzz,OKC,15.0
2025,75%,fan_buzz,OKC,14.0
2025,75%,crowd_buzz,OKC,14.0
2025,75%,stats_baseline,OKC,1.0
2025,pre-playoffs,media_attn,OKC,12.0
2025,pre-playoffs,media_tone,OKC,13.0
2025,pre-playoffs,fan_attn,OKC,7.0
2025,pre-playoffs,crowd_all,OKC,7.0
2025,pre-playoffs,media_buzz,OKC,8.0
2025,pre-playoffs,fan_buzz,OKC,4.0
2025,pre-playoffs,crowd_buzz,OKC,4.0
2025,pre-playoffs,stats_baseline,OKC,1.0
2026,preseason,media_attn,NYK,3.0
2026,preseason,media_tone,NYK,22.0
2026,preseason,fan_attn,NYK,4.0
2026,preseason,crowd_all,NYK,5.0
2026,preseason,media_buzz,NYK,14.0
2026,preseason,fan_buzz,NYK,25.0
2026,preseason,crowd_buzz,NYK,25.5
2026,preseason,stats_baseline,NYK,5.0
2026,25%,media_attn,NYK,3.0
2026,25%,media_tone,NYK,12.0
2026,25%,fan_attn,NYK,9.0
2026,25%,crowd_all,NYK,5.0
2026,25%,media_buzz,NYK,24.0
2026,25%,fan_buzz,NYK,27.0
2026,25%,crowd_buzz,NYK,24.0
2026,25%,stats_baseline,NYK,4.0
2026,50%,media_attn,NYK,2.0
2026,50%,media_tone,NYK,8.0
2026,50%,fan_attn,NYK,3.0
2026,50%,crowd_all,NYK,2.0
2026,50%,media_buzz,NYK,24.0
2026,50%,fan_buzz,NYK,25.0
2026,50%,crowd_buzz,NYK,22.0
2026,50%,stats_baseline,NYK,8.0
2026,75%,media_attn,NYK,6.0
2026,75%,media_tone,NYK,22.0
2026,75%,fan_attn,NYK,6.0
2026,75%,crowd_all,NYK,10.0
2026,75%,media_buzz,NYK,27.0
2026,75%,fan_buzz,NYK,28.0
2026,75%,crowd_buzz,NYK,29.0
2026,75%,stats_baseline,NYK,5.0
2026,pre-playoffs,media_attn,NYK,18.0
2026,pre-playoffs,media_tone,NYK,11.0
2026,pre-playoffs,fan_attn,NYK,10.0
2026,pre-playoffs,crowd_all,NYK,11.0
2026,pre-playoffs,media_buzz,NYK,29.0
2026,pre-playoffs,fan_buzz,NYK,28.0
2026,pre-playoffs,crowd_buzz,NYK,26.5
2026,pre-playoffs,stats_baseline,NYK,5.0
