season,checkpoint,predictor,spearman
2019,50%,media_tone,0.1853815555064231
2019,50%,fan_attn,0.049204067037505295
2019,50%,crowd_all,0.17398084637526737
2019,50%,media_buzz,-0.17083699197599897
2019,50%,fan_buzz,-0.1941445541027358
2019,50%,crowd_buzz,-0.14842879798080472
2019,50%,stats_baseline,0.7350257707634938
2019,75%,media_attn,-0.06265423734303782
2019,75%,media_tone,-0.16329568945311432
2019,75%,fan_attn,-0.2214303604126176
2019,75%,crowd_all,-0.15329777784444484
2019,75%,media_buzz,-0.11001492068895616
2019,75%,fan_buzz,-0.1746492983536139
2019,75%,crowd_buzz,-0.18894842385478086
2019,75%,stats_baseline,0.5811990043425748
2020,preseason,media_attn,0.383487441861708
2020,preseason,media_tone,-0.097597061039355
2020,preseason,fan_attn,0.053422378889440576
2020,preseason,crowd_all,0.1964345708730668
2020,preseason,media_buzz,0.2849045519229656
2020,preseason,fan_buzz,-0.0438508693384158
2020,preseason,crowd_buzz,0.06082210432092784
2020,preseason,stats_baseline,0.5832315680861516
2020,25%,media_attn,0.3762185668388969
2020,25%,media_tone,0.004193911892630325
2020,25%,fan_attn,0.14526026148239402
2020,25%,crowd_all,0.2061349706075462
2020,25%,media_buzz,-0.19143974286359602
2020,25%,fan_buzz,-0.012699133289104998
2020,25%,crowd_buzz,-0.08349127499905903
2020,25%,stats_baseline,0.7871234721124204
2020,50%,media_attn,-0.05500729975015158
2020,50%,media_tone,-0.19252554912553052
2020,50%,fan_attn,-0.03139035695352239
2020,50%,crowd_all,-0.10091305121285986
2020,50%,media_buzz,-0.4387167565438919
2020,50%,fan_buzz,-0.4813188066206766
2020,50%,crowd_buzz,-0.4836440182468636
2020,50%,stats_baseline,0.0848702243558198
2020,75%,media_attn,0.1986274355830746
2020,75%,media_tone,-0.4360334736292503
2020,75%,fan_attn,0.10754103771114153
2020,75%,crowd_all,-0.09745081063117841
2020,75%,media_buzz,-0.006708207286603851
2020,75%,fan_buzz,-0.04010990055172306
2020,75%,crowd_buzz,-0.18551196316310017
2020,75%,stats_baseline,0.0848702243558198
2021,preseason,media_attn,0.0747503119686464
2021,preseason,media_tone,0.1638092645121492
