espn_id,n_books,books,spread_home,spread_sd,total,ml_home,ml_away,spread_consensus
401360839,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,-7.0,0.5814595756329395,213.5,-290.0,240.0,-7.0
401360840,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,-14.0,0.5300494136893097,231.0,-1100.0,668.0,-14.0
401360841,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,-3.5,0.12909944487358055,224.0,-165.0,145.0,-3.5
401360842,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,11.5,1.533747356112131,230.0,450.0,-642.0,11.5
401360843,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,3.5,0.7973169292786185,241.5,145.0,-165.0,3.5
401360844,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,-11.5,0.38729833462074165,227.0,-781.0,525.0,-11.5
401360845,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,4.5,0.29680841985233186,236.5,160.0,-188.0,4.5
401360846,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,-2.0,0.29680841985233186,232.5,-135.0,115.0,-2.0
401360847,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,4.5,0.3518657752744984,226.5,160.0,-190.0,4.5
401360848,15,Caesars Sportsbook|Caesars Sportsbook (Colorado)|Caesars Sportsbook (New Jersey)|Caesars Sportsbook (Pennsylvania)|DraftKings|Holland Casino|MGM|PointsBet|SugarHouse|Titanbets|Unibet|Westgate|accuscore|consensus|teamrankings,6.5,0.3518657752744984,236.0,220.0,-265.0,6.5
