name_key,title,shortdesc
Jamahl Mosley,Jamahl Mosley,American basketball player & coach (born 1978)
Jamal Murray,Jamal Murray,Canadian basketball player (born 1997)
Jamal Shead,Jamal Shead,American basketball player (born 2002)
James Harden,James Harden,American basketball player (born 1989)
Jared McCain,Jared McCain,American basketball player (born 2004)
Jaren Jackson Jr.,Jaren Jackson Jr.,American basketball player (born 1999)
Jarrett Allen,Jarrett Allen,American basketball player (born 1998)
Jason Kidd,Jason Kidd,American basketball player and coach (born 1973)
Jaylen Brown,Jaylen Brown,American basketball player (born 1996)
Jaylen Wells,Jaylen Wells,American basketball player (born 2003)
Jayson Tatum,Jayson Tatum,American basketball player (born 1998)
Jerami Grant,Jerami Grant,American basketball player (born 1994)
Jimmy Butler,Jimmy Butler,American basketball player (born 1989)
Joe Ingles,Joe Ingles,Australian basketball player (born 1987)
Joe Mazzulla,Joe Mazzulla,American basketball coach (born 1988)
Joel Embiid,Joel Embiid,Cameroonian-American basketball player (born 1994)
John Collins,John Collins (basketball),American basketball player (born 1997)
Jonathan Isaac,Jonathan Isaac,American basketball player (born 1997)
Jordan Clarkson,Jordan Clarkson,American-Filipino basketball player (born 1992)
Jordan Ott,Jordan Ott,American basketball coach (born 1985)
Jordan Poole,Jordan Poole,American basketball player (born 1999)
Jose Alvarado,Jose Alvarado (basketball),American basketball player (born 1998)
Josh Giddey,Josh Giddey,Australian basketball player (born 2002)
Josh Okogie,Josh Okogie,Nigerian basketball player (born 1998)
Josh Richardson,Josh Richardson,American basketball player (born 1993)
Jrue Holiday,Jrue Holiday,American basketball player (born 1990)
Julius Randle,Julius Randle,American basketball player (born 1994)
Jusuf Nurkic,Jusuf Nurkić,Bosnian basketball player (born 1994)
Karl-Anthony Towns,Karl-Anthony Towns,American basketball player (born 1995)
Kawhi Leonard,Kawhi Leonard,American basketball player (born 1991)
Keegan Murray,Keegan Murray,American basketball player (born 2000)
Kel'el Ware,Kel'el Ware,American basketball player (born 2004)
Keldon Johnson,Keldon Johnson,American basketball player (born 1999)
Kelly Olynyk,Kelly Olynyk,Canadian basketball player (born 1991)
Kelly Oubre Jr.,Kelly Oubre Jr.,American basketball player (born 1995)
Kendrick Nunn,Kendrick Nunn,American basketball player (born 1995)
Kenny Atkinson,Kenny Atkinson,American basketball coach (born 1967)
Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,American basketball player (born 1993)
Kevin Durant,Kevin Durant,American basketball player (born 1988)
Kevin Love,Kevin Love,American basketball player (born 1988)
Kevon Looney,Kevon Looney,American basketball player (born 1996)
Klay Thompson,Klay Thompson,American basketball player (born 1990)
Kon Knueppel,Kon Knueppel,American basketball player (born 2005)
Kris Dunn,Kris Dunn,American basketball player (born 1994)
Kristaps Porzingis,Kristaps Porziņģis,Latvian basketball player (born 1995)
Kyle Anderson,Kyle Anderson (basketball),American-Chinese basketball player (born 1993)
Kyle Kuzma,Kyle Kuzma,American basketball player (born 1995)
Kyrie Irving,Kyrie Irving,American basketball player (born 1992)
LaMarcus Aldridge,LaMarcus Aldridge,American basketball player (born 1985)
LaMelo Ball,LaMelo Ball,American basketball player (born 2001)
Lakers Cade Cunningham,Cade Cunningham,American basketball player (born 2001)
Lakers Christian Braun,,not found
Lakers Donovan Mitchell,Donovan Mitchell,American basketball player (born 1996)
Lakers Dyson Daniels,Dyson Daniels,Australian basketball player (born 2003)
Lakers Ivica Zubac,Ivica Zubac,Croatian basketball player (born 1997)
Lakers Jalen Brunson,Jalen Brunson,American basketball player (born 1996)
Lakers Jaylen Brown,Jaylen Brown,American basketball player (born 1996)
Lakers Kawhi Leonard,Kawhi Leonard,American basketball player (born 1991)
Lakers Nikola Jokic,,not found
Lakers Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,Canadian basketball player (born 1998)
Lakers Tyler Herro,Tyler Herro,American basketball player (born 2000)
Lakers Victor Wembanyama,Victor Wembanyama,French basketball player (born 2004)
LakersGiannis Antetokounmpo,Kostas Antetokounmpo,Greek-Nigerian basketball player (born 1997)
Lauri Markkanen,Lauri Markkanen,Finnish basketball player (born 1997)
LeBron James,LeBron James,American basketball player (born 1984)
Lonzo Ball,Lonzo Ball,American basketball player (born 1997)
Lou Williams,Lou Williams,American basketball player (born 1986)
Luc Mbah a Moute,Luc Mbah a Moute,Cameroonian basketball player (born 1986)
Luguentz Dort,Luguentz Dort,Canadian basketball player (born 1999)
Luka Doncic,Luka Dončić,Slovenian basketball player (born 1999)
Luke Kennard,Luke Kennard,American basketball player (born 1996)
Malcolm Brogdon,Malcolm Brogdon,American basketball player (born 1992)
Malik Beasley,Malik Beasley,American basketball player (born 1996)
Malik Monk,Malik Monk,American basketball player (born 1998)
Marco Belinelli,Marco Belinelli,Italian basketball player (born 1986)
Marcus Smart,Marcus Smart,American basketball player (born 1994)
Mark Daigneault,Mark Daigneault,American basketball coach (born 1985)
Markelle Fultz,Markelle Fultz,American basketball player (born 1998)
Marvin Bagley III,Marvin Bagley III,American basketball player (born 1999)
