year,category,sport,event,days,transcripts,url
2025,1,Football,PITTSBURGH STEELERS MEDIA CONFERENCE,2,5,http://www.asapsports.com/show_events.php?event_id=212534&category=1&year=2025&title=PITTSBURGH+STEELERS+MEDIA+CONFERENCE
2025,1,Football,NEW YORK GIANTS MEDIA CONFERENCE,1,5,http://www.asapsports.com/show_events.php?event_id=212536&category=1&year=2025&title=NEW+YORK+GIANTS+MEDIA+CONFERENCE
2025,1,Football,SAN FRANCISCO 49ERS MEDIA CONFERENCE,1,1,http://www.asapsports.com/show_events.php?event_id=212540&category=1&year=2025&title=SAN+FRANCISCO+49ERS+MEDIA+CONFERENCE
2025,1,Football,UNIVERSITY OF FLORIDA FOOTBALL MEDIA CONFERENCE,4,5,http://www.asapsports.com/show_events.php?event_id=212580&category=1&year=2025&title=UNIVERSITY+OF+FLORIDA+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,STANFORD UNIVERSITY FOOTBALL MEDIA CONFERENCE,10,12,http://www.asapsports.com/show_events.php?event_id=212582&category=1&year=2025&title=STANFORD+UNIVERSITY+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,ATLANTA FALCONS MEDIA CONFERENCE,2,2,http://www.asapsports.com/show_events.php?event_id=212687&category=1&year=2025&title=ATLANTA+FALCONS+MEDIA+CONFERENCE
2025,1,Football,INDIANA UNIVERSITY FOOTBALL MEDIA CONFERENCE,17,2,http://www.asapsports.com/show_events.php?event_id=213500&category=1&year=2025&title=INDIANA+UNIVERSITY+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,UNIVERSITY OF TEXAS AT SAN ANTONIO FOOTBALL MEDIA CONFERENCE,7,4,http://www.asapsports.com/show_events.php?event_id=213702&category=1&year=2025&title=UNIVERSITY+OF+TEXAS+AT+SAN+ANTONIO+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,BIG TEN BASKETBALL MEDIA DAYS,1,2,http://www.asapsports.com/show_events.php?event_id=213769&category=1&year=2025&title=BIG+TEN+BASKETBALL+MEDIA+DAYS
2025,1,Football,BIG TEN FOOTBALL MEDIA CONFERENCE,1,1,http://www.asapsports.com/show_events.php?event_id=213772&category=1&year=2025&title=BIG+TEN+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,UNIVERSITY OF NOTRE DAME FOOTBALL MEDIA CONFERENCE,3,1,http://www.asapsports.com/show_events.php?event_id=214001&category=1&year=2025&title=UNIVERSITY+OF+NOTRE+DAME+FOOTBALL+MEDIA+CONFERENCE
2025,1,Football,AFLAC KICKOFF GAME: VIRGINIA TECH VS. SOUTH CAROLINA,1,8,http://www.asapsports.com/show_events.php?event_id=211091&category=1&year=2025&title=AFLAC+KICKOFF+GAME%3A+VIRGINIA+TECH+VS.+SOUTH+CAROLINA
2025,1,Football,AFLAC KICKOFF: SYRACUSE VS TENNESSEE,1,7,http://www.asapsports.com/show_events.php?event_id=211063&category=1&year=2025&title=AFLAC+KICKOFF%3A+SYRACUSE+VS+TENNESSEE
2025,1,Football,ATLANTIC COAST CONFERENCE FOOTBALL KICKOFF,3,18,http://www.asapsports.com/show_events.php?event_id=210209&category=1&year=2025&title=ATLANTIC+COAST+CONFERENCE+FOOTBALL+KICKOFF
2025,1,Football,BIG TEN FOOTBALL MEDIA DAYS,3,19,http://www.asapsports.com/show_events.php?event_id=210221&category=1&year=2025&title=BIG+TEN+FOOTBALL+MEDIA+DAYS
2025,1,Football,SOUTHEASTERN CONFERENCE FOOTBALL MEDIA DAYS,4,67,http://www.asapsports.com/show_events.php?event_id=209942&category=1&year=2025&title=SOUTHEASTERN+CONFERENCE+FOOTBALL+MEDIA+DAYS
2025,1,Football,CFP NATIONAL CHAMPIONSHIP: OHIO STATE VS NOTRE DAME,7,44,http://www.asapsports.com/show_events.php?event_id=204093&category=1&year=2025&title=CFP+NATIONAL+CHAMPIONSHIP%3A+OHIO+STATE+VS+NOTRE+DAME
2025,1,Football,CFP SEMIFINAL AT THE CAPITAL ONE ORANGE BOWL: PENN STATE VS NOTRE DAME,2,3,http://www.asapsports.com/show_events.php?event_id=203865&category=1&year=2025&title=CFP+SEMIFINAL+AT+THE+CAPITAL+ONE+ORANGE+BOWL%3A+PENN+STATE+VS+NOTRE+DAME
2025,1,Football,DIVISION I FOOTBALL CHAMPIONSHIP: MONTANA STATE VS NORTH DAKOTA STATE,2,4,http://www.asapsports.com/show_events.php?event_id=203823&category=1&year=2025&title=DIVISION+I+FOOTBALL+CHAMPIONSHIP%3A+MONTANA+STATE+VS+NORTH+DAKOTA+STATE
2025,1,Football,TAXSLAYER GATOR BOWL: DUKE VS OLE MISS,2,4,http://www.asapsports.com/show_events.php?event_id=203729&category=1&year=2025&title=TAXSLAYER+GATOR+BOWL%3A+DUKE+VS+OLE+MISS
2025,1,Football,CHICK-FIL-A PEACH BOWL: TEXAS VS ARIZONA STATE,1,2,http://www.asapsports.com/show_events.php?event_id=203714&category=1&year=2025&title=CHICK-FIL-A+PEACH+BOWL%3A+TEXAS+VS+ARIZONA+STATE
2025,1,Football,ROSE BOWL GAME PRESENTED BY PRUDENTIAL: OREGON VS OHIO STATE,1,2,http://www.asapsports.com/show_events.php?event_id=203718&category=1&year=2025&title=ROSE+BOWL+GAME+PRESENTED+BY+PRUDENTIAL%3A+OREGON+VS+OHIO+STATE
2025,2,Baseball,MLB WINTER MEETINGS,2,35,http://www.asapsports.com/show_events.php?event_id=212926&category=2&year=2025&title=MLB+WINTER+MEETINGS
2025,2,Baseball,MLB WORLD SERIES: DODGERS VS BLUE JAYS,11,141,http://www.asapsports.com/show_events.php?event_id=212557&category=2&year=2025&title=MLB+WORLD+SERIES%3A+DODGERS+VS+BLUE+JAYS
2025,2,Baseball,AL CHAMPIONSHIP SERIES: MARINERS VS BLUE JAYS,10,82,http://www.asapsports.com/show_events.php?event_id=213491&category=2&year=2025&title=AL+CHAMPIONSHIP+SERIES%3A+MARINERS+VS+BLUE+JAYS
2025,2,Baseball,NL CHAMPIONSHIP SERIES: DODGERS VS BREWERS,6,25,http://www.asapsports.com/show_events.php?event_id=213547&category=2&year=2025&title=NL+CHAMPIONSHIP+SERIES%3A+DODGERS+VS+BREWERS
2025,2,Baseball,NL DIVISION SERIES: CUBS VS BREWERS,8,44,http://www.asapsports.com/show_events.php?event_id=213703&category=2&year=2025&title=NL+DIVISION+SERIES%3A+CUBS+VS+BREWERS
2025,2,Baseball,AL DIVISION SERIES: TIGERS VS MARINERS,8,70,http://www.asapsports.com/show_events.php?event_id=213732&category=2&year=2025&title=AL+DIVISION+SERIES%3A+TIGERS+VS+MARINERS
2025,2,Baseball,NL DIVISION SERIES: DODGERS VS PHILLIES,22,89,http://www.asapsports.com/show_events.php?event_id=212974&category=2&year=2025&title=NL+DIVISION+SERIES%3A+DODGERS+VS+PHILLIES
2025,2,Baseball,AL DIVISION SERIES: YANKEES VS BLUE JAYS,6,36,http://www.asapsports.com/show_events.php?event_id=213793&category=2&year=2025&title=AL+DIVISION+SERIES%3A+YANKEES+VS+BLUE+JAYS
2025,2,Baseball,AL WILD CARD SERIES: TIGERS VS GUARDIANS,11,43,http://www.asapsports.com/show_events.php?event_id=212998&category=2&year=2025&title=AL+WILD+CARD+SERIES%3A+TIGERS+VS+GUARDIANS
2025,2,Baseball,AL WILD CARD SERIES: RED SOX VS YANKEES,4,37,http://www.asapsports.com/show_events.php?event_id=214085&category=2&year=2025&title=AL+WILD+CARD+SERIES%3A+RED+SOX+VS+YANKEES
2025,2,Baseball,NL WILD CARD SERIES: PADRES VS CUBS,4,34,http://www.asapsports.com/show_events.php?event_id=214092&category=2&year=2025&title=NL+WILD+CARD+SERIES%3A+PADRES+VS+CUBS
2025,2,Baseball,NL WILD CARD SERIES: REDS VS DODGERS,3,10,http://www.asapsports.com/show_events.php?event_id=214136&category=2&year=2025&title=NL+WILD+CARD+SERIES%3A+REDS+VS+DODGERS
2025,2,Baseball,NL WILDCARD GAME: REDS VS DODGERS,1,4,http://www.asapsports.com/show_events.php?event_id=214225&category=2&year=2025&title=NL+WILDCARD+GAME%3A+REDS+VS+DODGERS
2025,2,Baseball,95TH MLB ALL-STAR GAME,2,12,http://www.asapsports.com/show_events.php?event_id=209909&category=2&year=2025&title=95TH+MLB+ALL-STAR+GAME
2025,2,Baseball,ALL-STAR FUTURES GAME,1,2,http://www.asapsports.com/show_events.php?event_id=209602&category=2&year=2025&title=ALL-STAR+FUTURES+GAME
2025,2,Baseball,2025 MEN'S COLLEGE WORLD SERIES,10,40,http://www.asapsports.com/show_events.php?event_id=209239&category=2&year=2025&title=2025+MEN%27S+COLLEGE+WORLD+SERIES
2025,2,Baseball,COLLEGE WORLD SERIES: BATON ROUGE SUPER REGIONAL,2,3,http://www.asapsports.com/show_events.php?event_id=208739&category=2&year=2025&title=COLLEGE+WORLD+SERIES%3A+BATON+ROUGE+SUPER+REGIONAL
2025,2,Baseball,2025 WOMEN'S COLLEGE WORLD SERIES,10,40,http://www.asapsports.com/show_events.php?event_id=208173&category=2&year=2025&title=2025+WOMEN%27S+COLLEGE+WORLD+SERIES
2025,2,Baseball,COLLEGE WORLD SERIES: BATON ROUGE REGIONAL,4,12,http://www.asapsports.com/show_events.php?event_id=208054&category=2&year=2025&title=COLLEGE+WORLD+SERIES%3A+BATON+ROUGE+REGIONAL
2025,2,Baseball,SOUTHEASTERN CONFERENCE BASEBALL TOURNAMENT,6,28,http://www.asapsports.com/show_events.php?event_id=207868&category=2&year=2025&title=SOUTHEASTERN+CONFERENCE+BASEBALL+TOURNAMENT
2025,3,Auto Racing,NTT INDYCAR SERIES NEWS CONFERENCE,4,5,http://www.asapsports.com/show_events.php?event_id=212315&category=3&year=2025&title=NTT+INDYCAR+SERIES+NEWS+CONFERENCE
2025,3,Auto Racing,IMSA MEDIA CONFERENCE,5,15,http://www.asapsports.com/show_events.php?event_id=213695&category=3&year=2025&title=IMSA+MEDIA+CONFERENCE
2025,3,Auto Racing,SUPERMOTOCROSS WORLD CHAMPIONSHIP FINALS,1,3,http://www.asapsports.com/show_events.php?event_id=213334&category=3&year=2025&title=SUPERMOTOCROSS+WORLD+CHAMPIONSHIP+FINALS
2025,3,Auto Racing,SUPERMOTOCROSS WORLD CHAMPIONSHIP PLAYOFFS,2,4,http://www.asapsports.com/show_events.php?event_id=212034&category=3&year=2025&title=SUPERMOTOCROSS+WORLD+CHAMPIONSHIP+PLAYOFFS
2025,3,Auto Racing,NASCAR CUP SERIES: BASS PRO SHOPS NIGHT RACE,1,9,http://www.asapsports.com/show_events.php?event_id=212015&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+BASS+PRO+SHOPS+NIGHT+RACE
2025,3,Auto Racing,NASCAR CUP SERIES: ENJOY ILLINOIS 300,1,6,http://www.asapsports.com/show_events.php?event_id=211210&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+ENJOY+ILLINOIS+300
2025,3,Auto Racing,INDY NXT SERIES: MUSIC CITY GRAND PRIX,1,2,http://www.asapsports.com/show_events.php?event_id=211078&category=3&year=2025&title=INDY+NXT+SERIES%3A+MUSIC+CITY+GRAND+PRIX
2025,3,Auto Racing,NTT INDYCAR SERIES: BORCHETTA BOURBON MUSIC CITY GRAND PRIX,2,5,http://www.asapsports.com/show_events.php?event_id=211082&category=3&year=2025&title=NTT+INDYCAR+SERIES%3A+BORCHETTA+BOURBON+MUSIC+CITY+GRAND+PRIX
2025,3,Auto Racing,NASCAR CUP SERIES: COOK OUT SOUTHERN 500,1,6,http://www.asapsports.com/show_events.php?event_id=211099&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+COOK+OUT+SOUTHERN+500
2025,3,Auto Racing,INDY NXT SERIES: INDY NXT BY FIRESTONE AT THE MILWAUKEE MILE,1,2,http://www.asapsports.com/show_events.php?event_id=210976&category=3&year=2025&title=INDY+NXT+SERIES%3A+INDY+NXT+BY+FIRESTONE+AT+THE+MILWAUKEE+MILE
2025,3,Auto Racing,NTT INDYCAR SERIES: SNAP-ON MILWAUKEE MILE 250,2,4,http://www.asapsports.com/show_events.php?event_id=210982&category=3&year=2025&title=NTT+INDYCAR+SERIES%3A+SNAP-ON+MILWAUKEE+MILE+250
2025,3,Auto Racing,NASCAR CUP SERIES: COKE ZERO SUGAR 400,1,8,http://www.asapsports.com/show_events.php?event_id=210966&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+COKE+ZERO+SUGAR+400
2025,3,Auto Racing,NASCAR CUP SERIES: COOK OUT 400,2,11,http://www.asapsports.com/show_events.php?event_id=210785&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+COOK+OUT+400
2025,3,Auto Racing,INDY NXT SERIES: GRAND PRIX OF PORTLAND,1,1,http://www.asapsports.com/show_events.php?event_id=210632&category=3&year=2025&title=INDY+NXT+SERIES%3A+GRAND+PRIX+OF+PORTLAND
2025,3,Auto Racing,NTT INDYCAR SERIES: BITNILE.COM GRAND PRIX OF PORTLAND,3,4,http://www.asapsports.com/show_events.php?event_id=210637&category=3&year=2025&title=NTT+INDYCAR+SERIES%3A+BITNILE.COM+GRAND+PRIX+OF+PORTLAND
2025,3,Auto Racing,NASCAR CUP SERIES: GO BOWLING AT THE GLEN,1,5,http://www.asapsports.com/show_events.php?event_id=210650&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+GO+BOWLING+AT+THE+GLEN
2025,3,Auto Racing,NASCAR CUP SERIES: IOWA CORN 350 POWERED BY ETHANOL,1,5,http://www.asapsports.com/show_events.php?event_id=210530&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+IOWA+CORN+350+POWERED+BY+ETHANOL
2025,3,Auto Racing,NTT INDYCAR SERIES: JAVA HOUSE GRAND PRIX OF MONTEREY,3,5,http://www.asapsports.com/show_events.php?event_id=210338&category=3&year=2025&title=NTT+INDYCAR+SERIES%3A+JAVA+HOUSE+GRAND+PRIX+OF+MONTEREY
2025,3,Auto Racing,INDY NXT SERIES: GRAND PRIX OF MONTEREY RACE 2,1,1,http://www.asapsports.com/show_events.php?event_id=210342&category=3&year=2025&title=INDY+NXT+SERIES%3A+GRAND+PRIX+OF+MONTEREY+RACE+2
2025,3,Auto Racing,NASCAR CUP SERIES: CHAMPIONSHIP ROUND - BRICKYARD 400 PRESENTED BY PPG,1,6,http://www.asapsports.com/show_events.php?event_id=210344&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+CHAMPIONSHIP+ROUND+-+BRICKYARD+400+PRESENTED+BY+PPG
2025,3,Auto Racing,INDY NXT SERIES: GRAND PRIX OF MONTEREY RACE 1,1,1,http://www.asapsports.com/show_events.php?event_id=210306&category=3&year=2025&title=INDY+NXT+SERIES%3A+GRAND+PRIX+OF+MONTEREY+RACE+1
2025,3,Auto Racing,NASCAR CUP SERIES: CHALLENGE ROUND 4 - AUTOTRADER ECHOPARK AUTOMOTIVE 400,1,4,http://www.asapsports.com/show_events.php?event_id=210133&category=3&year=2025&title=NASCAR+CUP+SERIES%3A+CHALLENGE+ROUND+4+-+AUTOTRADER+ECHOPARK+AUTOMOTIVE+400
2025,3,Auto Racing,NTT INDYCAR SERIES: ONTARIO HONDA DEALERS INDY TORONTO,3,4,http://www.asapsports.com/show_events.php?event_id=210124&category=3&year=2025&title=NTT+INDYCAR+SERIES%3A+ONTARIO+HONDA+DEALERS+INDY+TORONTO
2025,3,Auto Racing,NTT INDYCAR SERIES: FARM TO FINISH 275 POWERED BY SUKUP,1,2,http://www.asapsports.com/show_events.php?event_id=209659&category=3&year=2025&title=NTT+INDYCAR+SERIES%3A+FARM+TO+FINISH+275+POWERED+BY+SUKUP
